# ---------------------------------- WARNING ----------------------------------------,,,,,
# Some of the data that you have obtained from this U.S. Geological Survey database,,,,,
# may not have received Director's approval. Any such data values are qualified,,,,,
# as provisional and are subject to revision. Provisional data are released on the,,,,,
# condition that neither the USGS nor the United States Government may be held liable,,,,,
# for any damages resulting from its use.,,,,,
#,,,,,
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement,,,,,
#,,,,,
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output,,,,,
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals,,,,,
#,,,,,
# Contact:   gs-w_support_nwisweb@usgs.gov,,,,,
# retrieved: 2020-04-23 00:15:20 EDT       (nadww02),,,,,
#,,,,,
# Data for the following 1 site(s) are contained in this file,,,,,
"#    USGS 14105700 COLUMBIA RIVER AT THE DALLES, OR",,,,,
# -----------------------------------------------------------------------------------,,,,,
#,,,,,
# Data provided for site 14105700,,,,,
#            TS   parameter     Description,,,,,
"#        116752       72255     Mean water velocity for discharge computation, feet per second",,,,,
#,,,,,
# Data-value qualification codes included in this output:,,,,,
#     P  Provisional data subject to revision.,,,,,
# ,,,,,
agency_cd,site_no,datetime,tz_cd,116752_72255,116752_72255_cd
USGS,14105700,12/24/2019 16:35,PST,1.34,P
USGS,14105700,12/24/2019 16:40,PST,1.27,P
USGS,14105700,12/24/2019 16:45,PST,1.41,P
USGS,14105700,12/24/2019 16:50,PST,1.4,P
USGS,14105700,12/24/2019 16:55,PST,1.38,P
USGS,14105700,12/24/2019 17:00,PST,1.26,P
USGS,14105700,12/24/2019 17:10,PST,1.41,P
USGS,14105700,12/24/2019 17:15,PST,1.11,P
USGS,14105700,12/24/2019 17:20,PST,1.37,P
USGS,14105700,12/24/2019 17:25,PST,1.35,P
USGS,14105700,12/24/2019 17:30,PST,1.3,P
USGS,14105700,12/24/2019 17:35,PST,1.36,P
USGS,14105700,12/24/2019 17:40,PST,1.4,P
USGS,14105700,12/24/2019 17:45,PST,1.36,P
USGS,14105700,12/24/2019 17:50,PST,1.36,P
USGS,14105700,12/24/2019 17:55,PST,1.41,P
USGS,14105700,12/24/2019 18:00,PST,1.3,P
USGS,14105700,12/24/2019 18:05,PST,1.29,P
USGS,14105700,12/24/2019 18:10,PST,1.32,P
USGS,14105700,12/24/2019 18:15,PST,1.28,P
USGS,14105700,12/24/2019 18:20,PST,1.36,P
USGS,14105700,12/24/2019 18:25,PST,1.25,P
USGS,14105700,12/24/2019 18:30,PST,1.27,P
USGS,14105700,12/24/2019 18:35,PST,1.25,P
USGS,14105700,12/24/2019 18:40,PST,1.05,P
USGS,14105700,12/24/2019 18:45,PST,1.3,P
USGS,14105700,12/24/2019 18:50,PST,1.3,P
USGS,14105700,12/24/2019 18:55,PST,1.39,P
USGS,14105700,12/24/2019 19:00,PST,1.06,P
USGS,14105700,12/24/2019 19:05,PST,1.44,P
USGS,14105700,12/24/2019 19:10,PST,1.45,P
USGS,14105700,12/24/2019 19:15,PST,1.29,P
USGS,14105700,12/24/2019 19:20,PST,1.27,P
USGS,14105700,12/24/2019 19:25,PST,1.21,P
USGS,14105700,12/24/2019 19:30,PST,1.1,P
USGS,14105700,12/24/2019 19:35,PST,1.25,P
USGS,14105700,12/24/2019 19:40,PST,1.3,P
USGS,14105700,12/24/2019 19:45,PST,1.27,P
USGS,14105700,12/24/2019 19:50,PST,1.26,P
USGS,14105700,12/24/2019 19:55,PST,1.36,P
USGS,14105700,12/24/2019 20:00,PST,1.3,P
USGS,14105700,12/24/2019 20:05,PST,1.35,P
USGS,14105700,12/24/2019 20:10,PST,1.07,P
USGS,14105700,12/24/2019 20:15,PST,1.3,P
USGS,14105700,12/24/2019 20:20,PST,1.19,P
USGS,14105700,12/24/2019 20:25,PST,1.32,P
USGS,14105700,12/24/2019 20:30,PST,1.31,P
USGS,14105700,12/24/2019 20:35,PST,1.38,P
USGS,14105700,12/24/2019 20:40,PST,1.28,P
USGS,14105700,12/24/2019 20:45,PST,1.31,P
USGS,14105700,12/24/2019 20:50,PST,1.32,P
USGS,14105700,12/24/2019 20:55,PST,1.31,P
USGS,14105700,12/24/2019 21:00,PST,1.35,P
USGS,14105700,12/24/2019 21:05,PST,1.5,P
USGS,14105700,12/24/2019 21:10,PST,1.39,P
USGS,14105700,12/24/2019 21:15,PST,1.44,P
USGS,14105700,12/24/2019 21:20,PST,1.38,P
USGS,14105700,12/24/2019 21:25,PST,1.31,P
USGS,14105700,12/24/2019 21:30,PST,1.31,P
USGS,14105700,12/24/2019 21:35,PST,1.49,P
USGS,14105700,12/24/2019 21:40,PST,1.42,P
USGS,14105700,12/24/2019 21:45,PST,1.23,P
USGS,14105700,12/24/2019 21:50,PST,1.4,P
USGS,14105700,12/24/2019 21:55,PST,1.3,P
USGS,14105700,12/24/2019 22:00,PST,1.31,P
USGS,14105700,12/24/2019 22:05,PST,1.3,P
USGS,14105700,12/24/2019 22:10,PST,1.3,P
USGS,14105700,12/24/2019 22:15,PST,1.3,P
USGS,14105700,12/24/2019 22:20,PST,1.11,P
USGS,14105700,12/24/2019 22:25,PST,0.92,P
USGS,14105700,12/24/2019 22:30,PST,1.1,P
USGS,14105700,12/24/2019 22:35,PST,1.16,P
USGS,14105700,12/24/2019 22:40,PST,1.12,P
USGS,14105700,12/24/2019 22:45,PST,1.17,P
USGS,14105700,12/24/2019 22:50,PST,1.17,P
USGS,14105700,12/24/2019 22:55,PST,1.02,P
USGS,14105700,12/24/2019 23:00,PST,1.17,P
USGS,14105700,12/24/2019 23:05,PST,1.23,P
USGS,14105700,12/24/2019 23:10,PST,1.08,P
USGS,14105700,12/24/2019 23:15,PST,0.77,P
USGS,14105700,12/24/2019 23:20,PST,0.74,P
USGS,14105700,12/24/2019 23:25,PST,0.74,P
USGS,14105700,12/24/2019 23:30,PST,0.82,P
USGS,14105700,12/24/2019 23:35,PST,0.88,P
USGS,14105700,12/24/2019 23:40,PST,0.86,P
USGS,14105700,12/24/2019 23:45,PST,0.95,P
USGS,14105700,12/24/2019 23:50,PST,0.87,P
USGS,14105700,12/24/2019 23:55,PST,0.96,P
USGS,14105700,12/25/2019 0:00,PST,1.12,P
USGS,14105700,12/25/2019 0:05,PST,1.1,P
USGS,14105700,12/25/2019 0:10,PST,1.07,P
USGS,14105700,12/25/2019 0:15,PST,1.05,P
USGS,14105700,12/25/2019 0:20,PST,1.03,P
USGS,14105700,12/25/2019 0:25,PST,1.06,P
USGS,14105700,12/25/2019 0:30,PST,0.94,P
USGS,14105700,12/25/2019 0:35,PST,0.64,P
USGS,14105700,12/25/2019 0:40,PST,0.92,P
USGS,14105700,12/25/2019 0:45,PST,1.02,P
USGS,14105700,12/25/2019 0:50,PST,1.08,P
USGS,14105700,12/25/2019 0:55,PST,1.05,P
USGS,14105700,12/25/2019 1:00,PST,0.93,P
USGS,14105700,12/25/2019 1:05,PST,0.94,P
USGS,14105700,12/25/2019 1:10,PST,0.92,P
USGS,14105700,12/25/2019 1:15,PST,0.89,P
USGS,14105700,12/25/2019 1:20,PST,0.91,P
USGS,14105700,12/25/2019 1:25,PST,0.76,P
USGS,14105700,12/25/2019 1:30,PST,1.04,P
USGS,14105700,12/25/2019 1:35,PST,1.05,P
USGS,14105700,12/25/2019 1:40,PST,1.04,P
USGS,14105700,12/25/2019 1:45,PST,0.74,P
USGS,14105700,12/25/2019 1:50,PST,0.82,P
USGS,14105700,12/25/2019 1:55,PST,0.87,P
USGS,14105700,12/25/2019 2:00,PST,0.99,P
USGS,14105700,12/25/2019 2:05,PST,0.96,P
USGS,14105700,12/25/2019 2:10,PST,0.82,P
USGS,14105700,12/25/2019 2:15,PST,0.82,P
USGS,14105700,12/25/2019 2:20,PST,0.85,P
USGS,14105700,12/25/2019 2:25,PST,0.88,P
USGS,14105700,12/25/2019 2:30,PST,0.9,P
USGS,14105700,12/25/2019 2:35,PST,0.87,P
USGS,14105700,12/25/2019 2:40,PST,0.89,P
USGS,14105700,12/25/2019 2:45,PST,0.84,P
USGS,14105700,12/25/2019 2:50,PST,0.92,P
USGS,14105700,12/25/2019 2:55,PST,0.89,P
USGS,14105700,12/25/2019 3:00,PST,0.95,P
USGS,14105700,12/25/2019 3:05,PST,0.74,P
USGS,14105700,12/25/2019 3:10,PST,0.92,P
USGS,14105700,12/25/2019 3:15,PST,0.86,P
USGS,14105700,12/25/2019 3:20,PST,0.86,P
USGS,14105700,12/25/2019 3:25,PST,0.86,P
USGS,14105700,12/25/2019 3:30,PST,0.86,P
USGS,14105700,12/25/2019 3:35,PST,0.92,P
USGS,14105700,12/25/2019 3:40,PST,0.86,P
USGS,14105700,12/25/2019 3:45,PST,0.94,P
USGS,14105700,12/25/2019 3:50,PST,0.9,P
USGS,14105700,12/25/2019 3:55,PST,0.88,P
USGS,14105700,12/25/2019 4:00,PST,0.86,P
USGS,14105700,12/25/2019 4:05,PST,0.84,P
USGS,14105700,12/25/2019 4:10,PST,0.8,P
USGS,14105700,12/25/2019 4:15,PST,0.8,P
USGS,14105700,12/25/2019 4:20,PST,0.86,P
USGS,14105700,12/25/2019 4:25,PST,0.89,P
USGS,14105700,12/25/2019 4:30,PST,0.86,P
USGS,14105700,12/25/2019 4:35,PST,0.93,P
USGS,14105700,12/25/2019 4:40,PST,0.88,P
USGS,14105700,12/25/2019 4:45,PST,0.88,P
USGS,14105700,12/25/2019 4:50,PST,0.76,P
USGS,14105700,12/25/2019 4:55,PST,0.85,P
USGS,14105700,12/25/2019 5:00,PST,0.87,P
USGS,14105700,12/25/2019 5:05,PST,0.88,P
USGS,14105700,12/25/2019 5:10,PST,0.92,P
USGS,14105700,12/25/2019 5:15,PST,0.89,P
USGS,14105700,12/25/2019 5:20,PST,0.92,P
USGS,14105700,12/25/2019 5:25,PST,0.93,P
USGS,14105700,12/25/2019 5:30,PST,0.96,P
USGS,14105700,12/25/2019 5:35,PST,0.9,P
USGS,14105700,12/25/2019 5:40,PST,0.96,P
USGS,14105700,12/25/2019 5:45,PST,0.97,P
USGS,14105700,12/25/2019 5:50,PST,0.93,P
USGS,14105700,12/25/2019 5:55,PST,0.93,P
USGS,14105700,12/25/2019 6:00,PST,0.88,P
USGS,14105700,12/25/2019 6:05,PST,0.83,P
USGS,14105700,12/25/2019 6:10,PST,0.92,P
USGS,14105700,12/25/2019 6:15,PST,0.98,P
USGS,14105700,12/25/2019 6:20,PST,1,P
USGS,14105700,12/25/2019 6:25,PST,1.05,P
USGS,14105700,12/25/2019 6:30,PST,1.1,P
USGS,14105700,12/25/2019 6:35,PST,1.07,P
USGS,14105700,12/25/2019 6:40,PST,1.12,P
USGS,14105700,12/25/2019 6:45,PST,1.16,P
USGS,14105700,12/25/2019 6:50,PST,1.08,P
USGS,14105700,12/25/2019 6:55,PST,1.05,P
USGS,14105700,12/25/2019 7:00,PST,1.08,P
USGS,14105700,12/25/2019 7:05,PST,1.12,P
USGS,14105700,12/25/2019 7:10,PST,1.14,P
USGS,14105700,12/25/2019 7:15,PST,1.19,P
USGS,14105700,12/25/2019 7:20,PST,1.32,P
USGS,14105700,12/25/2019 7:25,PST,1.16,P
USGS,14105700,12/25/2019 7:30,PST,1.32,P
USGS,14105700,12/25/2019 7:35,PST,1.26,P
USGS,14105700,12/25/2019 7:40,PST,1.29,P
USGS,14105700,12/25/2019 7:45,PST,1.28,P
USGS,14105700,12/25/2019 7:50,PST,1.33,P
USGS,14105700,12/25/2019 7:55,PST,1.21,P
USGS,14105700,12/25/2019 8:00,PST,1.25,P
USGS,14105700,12/25/2019 8:05,PST,1.22,P
USGS,14105700,12/25/2019 8:10,PST,1.23,P
USGS,14105700,12/25/2019 8:15,PST,1.21,P
USGS,14105700,12/25/2019 8:20,PST,1.29,P
USGS,14105700,12/25/2019 8:25,PST,1.37,P
USGS,14105700,12/25/2019 8:30,PST,1.3,P
USGS,14105700,12/25/2019 8:35,PST,1.3,P
USGS,14105700,12/25/2019 8:40,PST,1.29,P
USGS,14105700,12/25/2019 8:45,PST,1.27,P
USGS,14105700,12/25/2019 8:50,PST,1.1,P
USGS,14105700,12/25/2019 8:55,PST,1.3,P
USGS,14105700,12/25/2019 9:00,PST,1.23,P
USGS,14105700,12/25/2019 9:05,PST,1.3,P
USGS,14105700,12/25/2019 9:10,PST,1.24,P
USGS,14105700,12/25/2019 9:15,PST,1.32,P
USGS,14105700,12/25/2019 9:20,PST,1.3,P
USGS,14105700,12/25/2019 9:25,PST,1.33,P
USGS,14105700,12/25/2019 9:30,PST,1.37,P
USGS,14105700,12/25/2019 9:35,PST,1.35,P
USGS,14105700,12/25/2019 9:40,PST,1.26,P
USGS,14105700,12/25/2019 9:45,PST,1.28,P
USGS,14105700,12/25/2019 9:50,PST,1.21,P
USGS,14105700,12/25/2019 9:55,PST,1.29,P
USGS,14105700,12/25/2019 10:05,PST,1.27,P
USGS,14105700,12/25/2019 10:10,PST,1.17,P
USGS,14105700,12/25/2019 10:15,PST,1.3,P
USGS,14105700,12/25/2019 10:20,PST,1.3,P
USGS,14105700,12/25/2019 10:25,PST,1.33,P
USGS,14105700,12/25/2019 10:30,PST,1.28,P
USGS,14105700,12/25/2019 10:35,PST,0.94,P
USGS,14105700,12/25/2019 10:40,PST,1.28,P
USGS,14105700,12/25/2019 10:45,PST,1.25,P
USGS,14105700,12/25/2019 10:50,PST,1.16,P
USGS,14105700,12/25/2019 10:55,PST,1.27,P
USGS,14105700,12/25/2019 11:00,PST,1.23,P
USGS,14105700,12/25/2019 11:05,PST,1.22,P
USGS,14105700,12/25/2019 11:10,PST,1.21,P
USGS,14105700,12/25/2019 11:15,PST,1.2,P
USGS,14105700,12/25/2019 11:20,PST,1.2,P
USGS,14105700,12/25/2019 11:25,PST,1.26,P
USGS,14105700,12/25/2019 11:30,PST,1.25,P
USGS,14105700,12/25/2019 11:35,PST,1.05,P
USGS,14105700,12/25/2019 11:40,PST,1.15,P
USGS,14105700,12/25/2019 11:45,PST,1.17,P
USGS,14105700,12/25/2019 11:50,PST,1.18,P
USGS,14105700,12/25/2019 11:55,PST,1.17,P
USGS,14105700,12/25/2019 12:00,PST,1.22,P
USGS,14105700,12/25/2019 12:05,PST,1.37,P
USGS,14105700,12/25/2019 12:10,PST,1.41,P
USGS,14105700,12/25/2019 12:15,PST,1.35,P
USGS,14105700,12/25/2019 12:20,PST,1.21,P
USGS,14105700,12/25/2019 12:25,PST,1.15,P
USGS,14105700,12/25/2019 12:30,PST,1.09,P
USGS,14105700,12/25/2019 12:35,PST,1.37,P
USGS,14105700,12/25/2019 12:40,PST,1.16,P
USGS,14105700,12/25/2019 12:45,PST,1.2,P
USGS,14105700,12/25/2019 12:50,PST,1.18,P
USGS,14105700,12/25/2019 12:55,PST,1.2,P
USGS,14105700,12/25/2019 13:00,PST,1.25,P
USGS,14105700,12/25/2019 13:05,PST,1.24,P
USGS,14105700,12/25/2019 13:10,PST,1.28,P
USGS,14105700,12/25/2019 13:15,PST,1.25,P
USGS,14105700,12/25/2019 13:20,PST,1.25,P
USGS,14105700,12/25/2019 13:25,PST,1.24,P
USGS,14105700,12/25/2019 13:30,PST,1.25,P
USGS,14105700,12/25/2019 13:35,PST,1.2,P
USGS,14105700,12/25/2019 13:40,PST,1.19,P
USGS,14105700,12/25/2019 13:45,PST,1.26,P
USGS,14105700,12/25/2019 13:50,PST,1.21,P
USGS,14105700,12/25/2019 13:55,PST,1.1,P
USGS,14105700,12/25/2019 14:00,PST,1.32,P
