# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-04-21 16:49:18 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14246900 COLUMBIA RIVER AT PORT WESTWARD, NEAR QUINCY, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14246900
#            TS   parameter     statistic     Description
#        114427       00010     00001     Temperature, water, degrees Celsius (Maximum)
#        114428       00010     00002     Temperature, water, degrees Celsius (Minimum)
#        114429       00010     00003     Temperature, water, degrees Celsius (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	114427_00010_00001	114427_00010_00001_cd	114428_00010_00002	114428_00010_00002_cd	114429_00010_00003	114429_00010_00003_cd
USGS	14246900	1994-08-23						
USGS	14246900	1994-08-24						
USGS	14246900	1994-08-25						
USGS	14246900	1994-08-26						
USGS	14246900	1994-08-27						
USGS	14246900	1994-08-28						
USGS	14246900	1994-08-29						
USGS	14246900	1994-08-30						
USGS	14246900	1994-08-31						
USGS	14246900	1994-09-01						
USGS	14246900	1994-09-02						
USGS	14246900	1994-09-03						
USGS	14246900	1994-09-04						
USGS	14246900	1994-09-05						
USGS	14246900	1994-09-06						
USGS	14246900	1994-09-07						
USGS	14246900	1994-09-08						
USGS	14246900	1994-09-09						
USGS	14246900	1994-09-10						
USGS	14246900	1994-09-11						
USGS	14246900	1994-09-12						
USGS	14246900	1994-09-13						
USGS	14246900	1994-09-14						
USGS	14246900	1994-09-15						
USGS	14246900	1994-09-16						
USGS	14246900	1994-09-17						
USGS	14246900	1994-09-18						
USGS	14246900	1994-09-19						
USGS	14246900	1994-09-20						
USGS	14246900	1994-09-21						
USGS	14246900	1994-09-22	20.0	A	19.7	A	19.9	A
USGS	14246900	1994-09-23	20.0	A	19.6	A	19.9	A
USGS	14246900	1994-09-24	20.0	A	19.7	A	19.9	A
USGS	14246900	1994-09-25	20.0	A	19.7	A	19.8	A
USGS	14246900	1994-09-26	19.7	A	19.3	A	19.4	A
USGS	14246900	1994-09-27	19.8	A	19.0	A	19.4	A
USGS	14246900	1994-09-28	19.8	A	19.1	A	19.4	A
USGS	14246900	1994-09-29	19.8	A	19.4	A	19.5	A
USGS	14246900	1994-09-30	19.8	A	19.4	A	19.7	A
USGS	14246900	1994-10-01	20.0	A	19.6	A	19.9	A
USGS	14246900	1994-10-02	19.6	A	19.3	A	19.5	A
USGS	14246900	1994-10-03	19.3	A	18.6	A	19.1	A
USGS	14246900	1994-10-04	19.0	A	18.3	A	18.6	A
USGS	14246900	1994-10-05	18.7	A	18.3	A	18.5	A
USGS	14246900	1994-10-06	18.4	A	18.0	A	18.3	A
USGS	14246900	1994-10-07	18.4	A	18.0	A	18.1	A
USGS	14246900	1994-10-08	18.1	A	17.7	A	17.8	A
USGS	14246900	1994-10-09	18.0	A	17.1	A	17.5	A
USGS	14246900	1994-10-10	17.5	A	17.2	A	17.4	A
USGS	14246900	1994-10-11	17.5	A	17.2	A	17.3	A
USGS	14246900	1994-10-12	17.3	A	16.9	A	17.1	A
USGS	14246900	1994-10-13	16.9	A	16.4	A	16.6	A
USGS	14246900	1994-10-14	16.4	A	16.1	A	16.3	A
USGS	14246900	1994-10-15	16.4	A	16.1	A	16.2	A
USGS	14246900	1994-10-16	16.4	A	16.1	A	16.2	A
USGS	14246900	1994-10-17	16.4	A	15.8	A	16.0	A
USGS	14246900	1994-10-18	15.8	A	15.5	A	15.7	A
USGS	14246900	1994-10-19	15.6	A	15.3	A	15.4	A
USGS	14246900	1994-10-20	15.3	A	15.0	A	15.2	A
USGS	14246900	1994-10-21	15.4	A	15.0	A	15.2	A
USGS	14246900	1994-10-22	15.7	A	15.1	A	15.4	A
USGS	14246900	1994-10-23	15.4	A	15.1	A	15.2	A
USGS	14246900	1994-10-24	15.4	A	14.9	A	15.1	A
USGS	14246900	1994-10-25	15.1	A	14.9	A	15.1	A
USGS	14246900	1994-10-26	14.9	A	14.6	A	14.9	A
USGS	14246900	1994-10-27	14.9	A	14.3	A	14.7	A
USGS	14246900	1994-10-28	14.4	A	14.1	A	14.2	A
USGS	14246900	1994-10-29	14.1	A	13.5	A	13.8	A
USGS	14246900	1994-10-30	13.7	A	13.2	A	13.4	A
USGS	14246900	1994-10-31	13.3	A	12.6	A	12.9	A
USGS	14246900	1994-11-01	12.6	A	12.1	A	12.3	A
USGS	14246900	1994-11-02	12.3	A	11.6	A	12.0	A
USGS	14246900	1994-11-03	11.6	A	10.9	A	11.3	A
USGS	14246900	1994-11-04	11.0	A	10.5	A	10.8	A
USGS	14246900	1994-11-05	10.7	A	10.4	A	10.5	A
USGS	14246900	1994-11-06	10.5	A	10.4	A	10.4	A
USGS	14246900	1994-11-07	10.5	A	10.3	A	10.4	A
USGS	14246900	1994-11-08	10.5	A	10.0	A	10.1	A
USGS	14246900	1994-11-09	10.0	A	10.0	A	10.0	A
USGS	14246900	1994-11-10	10.2	A	10.0	A	10.0	A
USGS	14246900	1994-11-11	10.0	A	9.8	A	10.0	A
USGS	14246900	1994-11-12	10.0	A	9.8	A	9.9	A
USGS	14246900	1994-11-13	10.0	A	9.8	A	9.9	A
USGS	14246900	1994-11-14	10.0	A	9.8	A	10.0	A
USGS	14246900	1994-11-15	10.1	A	9.9	A	10.1	A
USGS	14246900	1994-11-16	10.1	A	9.9	A	9.9	A
USGS	14246900	1994-11-17	9.9	A	9.2	A	9.6	A
USGS	14246900	1994-11-18	9.2	A	8.8	A	9.1	A
USGS	14246900	1994-11-19	8.8	A	8.6	A	8.7	A
USGS	14246900	1994-11-20	8.6	A	8.6	A	8.6	A
USGS	14246900	1994-11-21	8.6	A	8.4	A	8.5	A
USGS	14246900	1994-11-22	8.6	A	8.2	A	8.3	A
USGS	14246900	1994-11-23	8.2	A	8.0	A	8.0	A
USGS	14246900	1994-11-24	8.1	A	7.8	A	8.0	A
USGS	14246900	1994-11-25	8.1	A	7.9	A	7.9	A
USGS	14246900	1994-11-26	8.1	A	7.7	A	7.9	A
USGS	14246900	1994-11-27						
USGS	14246900	1994-11-28						
USGS	14246900	1994-11-29						
USGS	14246900	1994-11-30						
USGS	14246900	1994-12-01						
USGS	14246900	1994-12-02						
USGS	14246900	1994-12-03						
USGS	14246900	1994-12-04						
USGS	14246900	1994-12-05						
USGS	14246900	1994-12-06						
USGS	14246900	1994-12-07						
USGS	14246900	1994-12-08						
USGS	14246900	1994-12-09	6.3	A	5.9	A	6.0	A
USGS	14246900	1994-12-10	6.4	A	6.3	A	6.3	A
USGS	14246900	1994-12-11	6.6	A	6.4	A	6.5	A
USGS	14246900	1994-12-12	6.6	A	6.4	A	6.5	A
USGS	14246900	1994-12-13	6.4	A	6.3	A	6.3	A
USGS	14246900	1994-12-14	6.3	A	6.1	A	6.1	A
USGS	14246900	1994-12-15	6.3	A	6.1	A	6.2	A
USGS	14246900	1994-12-16	6.5	A	6.3	A	6.3	A
USGS	14246900	1994-12-17	7.2	A	6.5	A	6.7	A
USGS	14246900	1994-12-18	7.2	A	7.0	A	7.0	A
USGS	14246900	1994-12-19	7.4	A	7.0	A	7.0	A
USGS	14246900	1994-12-20	7.5	A	7.2	A	7.4	A
USGS	14246900	1994-12-21	7.7	A	7.4	A	7.5	A
USGS	14246900	1994-12-22	7.5	A	7.2	A	7.4	A
USGS	14246900	1994-12-23	7.4	A	7.2	A	7.2	A
USGS	14246900	1994-12-24	7.2	A	7.0	A	7.0	A
USGS	14246900	1994-12-25	7.0	A	6.8	A	6.9	A
USGS	14246900	1994-12-26	7.0	A	6.8	A	6.9	A
USGS	14246900	1994-12-27	7.5	A	7.0	A	7.3	A
USGS	14246900	1994-12-28	7.5	A	7.2	A	7.4	A
USGS	14246900	1994-12-29	7.2	A	6.6	A	6.9	A
USGS	14246900	1994-12-30	6.6	A	6.3	A	6.5	A
USGS	14246900	1994-12-31	6.3	A	5.6	A	6.0	A
USGS	14246900	1995-01-01	5.7	A	5.3	A	5.5	A
USGS	14246900	1995-01-02	5.3	A	5.0	A	5.1	A
USGS	14246900	1995-01-03	5.0	A	4.5	A	4.8	A
USGS	14246900	1995-01-04	4.5	A	4.2	A	4.4	A
USGS	14246900	1995-01-05	4.2	A	4.0	A	4.1	A
USGS	14246900	1995-01-06	4.0	A	3.9	A	4.0	A
USGS	14246900	1995-01-07	4.2	A	3.9	A	4.0	A
USGS	14246900	1995-01-08	4.7	A	4.2	A	4.4	A
USGS	14246900	1995-01-09	5.0	A	4.5	A	4.7	A
USGS	14246900	1995-01-10	5.2	A	4.7	A	5.0	A
USGS	14246900	1995-01-11	5.7	A	5.0	A	5.3	A
USGS	14246900	1995-01-12	5.9	A	5.5	A	5.7	A
USGS	14246900	1995-01-13	6.2	A	5.9	A	6.0	A
USGS	14246900	1995-01-14	6.2	A	6.0	A	6.1	A
USGS	14246900	1995-01-15	6.4	A	6.2	A	6.2	A
USGS	14246900	1995-01-16	6.2	A	6.0	A	6.2	A
USGS	14246900	1995-01-17	6.2	A	5.9	A	6.0	A
USGS	14246900	1995-01-18	6.0	A	5.7	A	5.9	A
USGS	14246900	1995-01-19	5.9	A	5.7	A	5.7	A
USGS	14246900	1995-01-20	5.7	A	5.4	A	5.5	A
USGS	14246900	1995-01-21	5.5	A	5.3	A	5.4	A
USGS	14246900	1995-01-22	5.5	A	5.2	A	5.4	A
USGS	14246900	1995-01-23	5.5	A	5.2	A	5.3	A
USGS	14246900	1995-01-24	5.2	A	4.9	A	5.0	A
USGS	14246900	1995-01-25	5.0	A	4.7	A	4.8	A
USGS	14246900	1995-01-26	5.0	A	4.7	A	4.8	A
USGS	14246900	1995-01-27	5.0	A	4.7	A	4.9	A
USGS	14246900	1995-01-28	5.0	A	4.9	A	4.9	A
USGS	14246900	1995-01-29	5.7	A	5.0	A	5.1	A
USGS	14246900	1995-01-30	5.9	A	5.4	A	5.5	A
USGS	14246900	1995-01-31	6.6	A	5.7	A	6.2	A
USGS	14246900	1995-02-01	6.9	A	6.6	A	6.7	A
USGS	14246900	1995-02-02	6.7	A	6.5	A	6.6	A
USGS	14246900	1995-02-03	6.9	A	6.5	A	6.7	A
USGS	14246900	1995-02-04	7.2	A	6.7	A	6.9	A
USGS	14246900	1995-02-05	7.2	A	6.8	A	7.0	A
USGS	14246900	1995-02-06	7.2	A	6.8	A	7.1	A
USGS	14246900	1995-02-07	7.2	A	6.8	A	7.1	A
USGS	14246900	1995-02-08	6.9	A	6.5	A	6.8	A
USGS	14246900	1995-02-09	6.7	A	6.5	A	6.5	A
USGS	14246900	1995-02-10	6.5	A	6.3	A	6.5	A
USGS	14246900	1995-02-11	6.5	A	6.1	A	6.3	A
USGS	14246900	1995-02-12	6.1	A	5.8	A	6.0	A
USGS	14246900	1995-02-13	5.8	A	5.4	A	5.6	A
USGS	14246900	1995-02-14	5.4	A	4.5	A	4.9	A
USGS	14246900	1995-02-15	4.6	A	4.1	A	4.4	A
USGS	14246900	1995-02-16	5.1	A	4.6	A	4.7	A
USGS	14246900	1995-02-17	5.3	A	5.0	A	5.1	A
USGS	14246900	1995-02-18	5.6	A	5.3	A	5.4	A
USGS	14246900	1995-02-19	6.8	A	5.6	A	6.2	A
USGS	14246900	1995-02-20	7.0	A	6.7	A	6.9	A
USGS	14246900	1995-02-21	7.2	A	6.8	A	7.0	A
USGS	14246900	1995-02-22	7.2	A	7.0	A	7.1	A
USGS	14246900	1995-02-23	7.0	A	6.7	A	6.8	A
USGS	14246900	1995-02-24	6.8	A	6.5	A	6.6	A
USGS	14246900	1995-02-25	6.9	A	6.6	A	6.8	A
USGS	14246900	1995-02-26	6.8	A	6.4	A	6.6	A
USGS	14246900	1995-02-27	6.6	A	6.2	A	6.4	A
USGS	14246900	1995-02-28	6.3	A	6.0	A	6.1	A
USGS	14246900	1995-03-01	6.1	A	5.7	A	5.9	A
USGS	14246900	1995-03-02	6.1	A	5.7	A	5.9	A
USGS	14246900	1995-03-03	6.1	A	5.7	A	5.8	A
USGS	14246900	1995-03-04	5.9	A	5.7	A	5.8	A
USGS	14246900	1995-03-05	6.2	A	5.9	A	6.0	A
USGS	14246900	1995-03-06	6.4	A	6.2	A	6.3	A
USGS	14246900	1995-03-07	6.6	A	6.2	A	6.4	A
USGS	14246900	1995-03-08	6.6	A	6.4	A	6.4	A
USGS	14246900	1995-03-09	6.9	A	6.4	A	6.6	A
USGS	14246900	1995-03-10	7.1	A	6.6	A	6.7	A
USGS	14246900	1995-03-11	7.3	A	6.8	A	6.9	A
USGS	14246900	1995-03-12	7.5	A	6.9	A	7.2	A
USGS	14246900	1995-03-13	7.5	A	7.1	A	7.3	A
USGS	14246900	1995-03-14	7.8	A	7.3	A	7.5	A
USGS	14246900	1995-03-15	7.8	A	7.5	A	7.7	A
USGS	14246900	1995-03-16	8.1	A	7.5	A	7.8	A
USGS	14246900	1995-03-17	8.1	A	7.6	A	7.8	A
USGS	14246900	1995-03-18	8.1	A	7.6	A	7.8	A
USGS	14246900	1995-03-19	8.1	A	7.9	A	7.9	A
USGS	14246900	1995-03-20	8.1	A	7.7	A	7.9	A
USGS	14246900	1995-03-21	7.9	A	7.5	A	7.7	A
USGS	14246900	1995-03-22	7.7	A	7.4	A	7.6	A
USGS	14246900	1995-03-23	7.9	A	7.5	A	7.6	A
USGS	14246900	1995-03-24	7.6	A	7.4	A	7.5	A
USGS	14246900	1995-03-25	7.7	A	7.4	A	7.5	A
USGS	14246900	1995-03-26	8.1	A	7.5	A	7.7	A
USGS	14246900	1995-03-27	8.3	A	7.5	A	7.9	A
USGS	14246900	1995-03-28	8.7	A	7.9	A	8.2	A
USGS	14246900	1995-03-29	8.9	A	8.3	A	8.6	A
USGS	14246900	1995-03-30	9.1	A	8.7	A	8.9	A
USGS	14246900	1995-03-31	9.0	A	8.7	A	8.9	A
USGS	14246900	1995-04-01	9.0	A	8.6	A	8.8	A
USGS	14246900	1995-04-02	9.2	A	8.8	A	8.9	A
USGS	14246900	1995-04-03	9.6	A	8.8	A	9.2	A
USGS	14246900	1995-04-04	9.8	A	9.2	A	9.4	A
USGS	14246900	1995-04-05	9.6	A	9.2	A	9.4	A
USGS	14246900	1995-04-06	9.4	A	9.0	A	9.1	A
USGS	14246900	1995-04-07	9.4	A	9.0	A	9.1	A
USGS	14246900	1995-04-08	9.2	A	8.9	A	9.0	A
USGS	14246900	1995-04-09	9.3	A	8.9	A	9.0	A
USGS	14246900	1995-04-10	9.1	A	8.9	A	9.0	A
USGS	14246900	1995-04-11	9.7	A	9.1	A	9.3	A
USGS	14246900	1995-04-12	9.7	A	9.3	A	9.4	A
USGS	14246900	1995-04-13	9.9	A	9.5	A	9.5	A
USGS	14246900	1995-04-14	9.5	A	9.5	A	9.5	A
USGS	14246900	1995-04-15	9.9	A	9.3	A	9.5	A
USGS	14246900	1995-04-16	10.0	A	9.5	A	9.6	A
USGS	14246900	1995-04-17	10.0	A	9.8	A	9.8	A
USGS	14246900	1995-04-18	10.2	A	9.8	A	9.9	A
USGS	14246900	1995-04-19	9.8	A	9.6	A	9.6	A
USGS	14246900	1995-04-20	9.6	A	9.4	A	9.5	A
USGS	14246900	1995-04-21	10.0	A	9.4	A	9.7	A
USGS	14246900	1995-04-22	10.3	A	9.8	A	10.0	A
USGS	14246900	1995-04-23	10.7	A	10.0	A	10.3	A
USGS	14246900	1995-04-24	11.3	A	10.4	A	10.8	A
USGS	14246900	1995-04-25	11.8	A	10.9	A	11.3	A
USGS	14246900	1995-04-26	11.8	A	11.3	A	11.5	A
USGS	14246900	1995-04-27	11.8	A	11.3	A	11.6	A
USGS	14246900	1995-04-28	11.3	A	11.1	A	11.2	A
USGS	14246900	1995-04-29	11.5	A	10.9	A	11.2	A
USGS	14246900	1995-04-30	12.0	A	11.1	A	11.5	A
USGS	14246900	1995-05-01	12.0	A	11.7	A	11.9	A
USGS	14246900	1995-05-02	12.0	A	11.6	A	11.8	A
USGS	14246900	1995-05-03	11.9	A	11.4	A	11.7	A
USGS	14246900	1995-05-04	12.1	A	11.4	A	11.8	A
USGS	14246900	1995-05-05	12.1	A	11.9	A	12.0	A
USGS	14246900	1995-05-06	11.9	A	11.6	A	11.8	A
USGS	14246900	1995-05-07	11.7	A	11.2	A	11.5	A
USGS	14246900	1995-05-08	11.9	A	11.2	A	11.5	A
USGS	14246900	1995-05-09	12.1	A	11.6	A	11.9	A
USGS	14246900	1995-05-10	12.1	A	11.6	A	11.8	A
USGS	14246900	1995-05-11	12.1	A	11.6	A	11.8	A
USGS	14246900	1995-05-12	12.3	A	11.6	A	12.0	A
USGS	14246900	1995-05-13	12.4	A	11.6	A	12.0	A
USGS	14246900	1995-05-14	13.1	A	12.1	A	12.5	A
USGS	14246900	1995-05-15	13.2	A	12.8	A	13.0	A
USGS	14246900	1995-05-16	13.5	A	13.0	A	13.3	A
USGS	14246900	1995-05-17	13.4	A	12.8	A	13.1	A
USGS	14246900	1995-05-18	13.3	A	12.6	A	13.0	A
USGS	14246900	1995-05-19	13.6	A	12.8	A	13.2	A
USGS	14246900	1995-05-20	14.1	A	13.0	A	13.6	A
USGS	14246900	1995-05-21	14.3	A	13.8	A	14.1	A
USGS	14246900	1995-05-22	14.9	A	14.0	A	14.4	A
USGS	14246900	1995-05-23	15.1	A	14.6	A	14.9	A
USGS	14246900	1995-05-24	15.1	A	14.6	A	14.9	A
USGS	14246900	1995-05-25	15.4	A	14.8	A	15.1	A
USGS	14246900	1995-05-26	15.5	A	14.7	A	15.1	A
USGS	14246900	1995-05-27	15.8	A	15.0	A	15.4	A
USGS	14246900	1995-05-28	16.1	A	15.2	A	15.6	A
USGS	14246900	1995-05-29	16.4	A	15.8	A	16.1	A
USGS	14246900	1995-05-30	16.8	A	16.1	A	16.4	A
USGS	14246900	1995-05-31	16.8	A	16.2	A	16.4	A
USGS	14246900	1995-06-01	16.5	A	16.2	A	16.4	A
USGS	14246900	1995-06-02	16.5	A	16.2	A	16.4	A
USGS	14246900	1995-06-03	16.8	A	16.2	A	16.4	A
USGS	14246900	1995-06-04	16.8	A	16.5	A	16.6	A
USGS	14246900	1995-06-05	16.6	A	16.1	A	16.4	A
USGS	14246900	1995-06-06	16.1	A	15.8	A	16.0	A
USGS	14246900	1995-06-07	16.1	A	15.2	A	15.8	A
USGS	14246900	1995-06-08	16.4	A	15.5	A	16.0	A
USGS	14246900	1995-06-09	16.4	A	16.1	A	16.2	A
USGS	14246900	1995-06-10	16.4	A	16.1	A	16.3	A
USGS	14246900	1995-06-11	16.4	A	15.8	A	16.1	A
USGS	14246900	1995-06-12	16.1	A	15.8	A	16.0	A
USGS	14246900	1995-06-13	16.1	A	15.8	A	15.9	A
USGS	14246900	1995-06-14	15.9	A	15.6	A	15.8	A
