state,county_ID,county_name,year,"Public Supply population served by groundwater, in thousands","Public Supply population served by surface water, in thousands","Public Supply total population served, in thousands"
Nevada,29,Storey County,2010,1.89,1.9,3.79
Nevada,29,Storey County,2015,1.336,1.6,2.936
Nevada,31,Washoe County,1985,48.32,157.7,206.02
Nevada,31,Washoe County,1990,72.45,161.43,233.88
Nevada,31,Washoe County,1995,65.93,196.68,262.61
Nevada,31,Washoe County,2000,82.19,218.78,300.97
Nevada,31,Washoe County,2005,100.54,283.24,383.78
Nevada,31,Washoe County,2010,113.937,297.43,411.367
Nevada,31,Washoe County,2015,113.593,301.25,414.843
Nevada,33,White Pine County,1985,4.92,1.4,6.32
Nevada,33,White Pine County,1990,7.46,0.79,8.25
Nevada,33,White Pine County,1995,8.27,0.9,9.17
Nevada,33,White Pine County,2000,8.34,0,8.34
Nevada,33,White Pine County,2005,7.02,0,7.02
Nevada,33,White Pine County,2010,8.199,0,8.199
Nevada,33,White Pine County,2015,7.776,0,7.776
Nevada,510,Carson City,1985,24.76,8.93,33.69
Nevada,510,Carson City,1990,24.76,11.71,36.47
Nevada,510,Carson City,1995,27.57,14.17,41.74
Nevada,510,Carson City,2000,30.35,19.65,50
Nevada,510,Carson City,2005,35.6,20.46,56.06
Nevada,510,Carson City,2010,35.19,20.01,55.2
Nevada,510,Carson City,2015,34.388,19.93,54.318
